ZONA,FECHA,HORA,ID_QUEJA,LATITUD,GRAVEDAD,LONGITUD,DELITO,TIPO_LUGAR
MANHATTAN,2025-02-04,00:25:00,300502476,40.714675,FELONY,-74.00991,BURGLARY,GROCERY/BODEGA
MANHATTAN,2025-07-16,22:20:00,309718793,40.721112,FELONY,-74.004284,FELONY ASSAULT,GYM/FITNESS FACILITY
MANHATTAN,2025-08-31,19:40:00,312170902,40.70734099,FELONY,-74.00864561,ROBBERY,STREET
MANHATTAN,2025-01-30,09:00:00,300293883,40.730847,FELONY,-74.005694,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-09-03,18:22:00,312311854,40.710075,FELONY,-74.009767,ROBBERY,STREET
MANHATTAN,2025-06-03,02:30:00,307442200,40.71552033,FELONY,-74.00923827,ROBBERY,TRANSIT - NYC SUBWAY
MANHATTAN,2025-02-07,13:31:00,300737594,40.710095,FELONY,-74.010611,ROBBERY,CHAIN STORE
MANHATTAN,2025-04-03,10:15:00,304116265,40.73352,FELONY,-74.003533,ROBBERY,DRUG STORE
MANHATTAN,2025-08-15,10:00:00,311265343,40.725624,FELONY,-74.005168,ROBBERY,GROCERY/BODEGA
MANHATTAN,2025-05-22,20:49:00,306911597,40.709296,FELONY,-74.008657,BURGLARY,RESIDENCE - APT. HOUSE
MANHATTAN,2025-03-17,17:30:00,303014348,40.741973,FELONY,-74.004639,ROBBERY,CHAIN STORE
MANHATTAN,2025-05-10,13:44:00,306195253,40.741296,FELONY,-74.006168,ROBBERY,CLOTHING/BOUTIQUE
MANHATTAN,2025-09-15,21:03:00,312948472,40.714616,FELONY,-74.011445,BURGLARY,DEPARTMENT STORE
MANHATTAN,2025-07-03,22:31:00,309455230,40.730847,FELONY,-74.005694,BURGLARY,RESIDENCE-HOUSE
MANHATTAN,2025-03-07,22:29:00,302254625,40.72044188847,FELONY,-74.00674397419,ROBBERY,TRANSIT - NYC SUBWAY
MANHATTAN,2025-07-21,09:03:00,309978384,40.714616,FELONY,-74.011445,BURGLARY,DEPARTMENT STORE
