NOMBRE_LUGAR,CATEGORIA,ZONA,LONGITUD,LATITUD
THE SCHOOL AT COLUMBIA UNIVERSITY,Educacion,Manhattan,-73.96640568951,40.803818263985
ST NICHOLAS HOUSES BUILDING 12,Residencial,Manhattan,-73.946813310616,40.812955976425
ST NICHOLAS PLAYGROUND,Parques y Jardines,Manhattan,-73.950853120431,40.813795476453
LINCOLN BRIGADE SQUARE,Monumentos y Plazas,Manhattan,-73.989375006694,40.729978854277
MOROCCO MISSION TO THE UN,Administracion Publica,Manhattan,-73.969957677348,40.752511495877
SOL BLOOM PLAYGROUND,Parques y Jardines,Manhattan,-73.968821576499,40.789712780916
BRITISH CONSULATE,Administracion Publica,Manhattan,-73.969780053881,40.756610364402
LOWER MANHATTAN ARTS ACADEMY,Educacion,Manhattan,-73.989508144566,40.717253096837
PETER COOPER VILLAGE - 2 PCR,Residencial,Manhattan,-73.977857522558,40.735165030168
GOVERNORS ISLAND HAMMOCK GROVE,Parques y Jardines,Manhattan,-74.020915521977,40.688739644452
SAMUEL MHOP II HOUSES,Residencial,Manhattan,-73.940025029867,40.816934599905
WALD HOUSES BUILDING 12,Residencial,Manhattan,-73.975836501378,40.720151634683
OL LOURDES SCHOOL,Educacion,Manhattan,-73.948105189956,40.8236001123
HAMMERSTEIN BALLROOM,Cultura,Manhattan,-73.994079110709,40.752887571445
FT TRYON PARK TABLE TENNIS AREA SUBWAY PLAZA,Parques y Jardines,Manhattan,-73.933859869866,40.858494793325
NEW YORK UNIVERSITY HAYDEN HALL,Educacion,Manhattan,-73.995496504517,40.727907378523
DAVID B FRIEDLAND SQUARE,Monumentos y Plazas,Manhattan,-73.939056468809,40.842185370845
THE NEW SCHOOL 20 ST RESIDENCE,Educacion,Manhattan,-74.000453266984,40.743518021557
VLADECK HOUSES COMPLEX,Residencial,Manhattan,-73.981730590685,40.713059558563
SINGAPORE CONSULATE & MISSION TO UN,Administracion Publica,Manhattan,-73.968609969893,40.753093664076
EAST RIVER PARK AT JACKSON STREET,Parques y Jardines,Manhattan,-73.980222735156,40.710572054714
RIVERBANK PARK TENNIS COURTS,Parques y Jardines,Manhattan,-73.958043113403,40.82372695168
PRINCETON CLUB,Cultura,Manhattan,-73.981244913059,40.754722749943
VLADECK HOUSES BUILDING 12,Residencial,Manhattan,-73.981855636632,40.712399117712
QUEBEC GOVERNMENT OFFICE,Administracion Publica,Manhattan,-73.978899595662,40.758093657823
HARLEM RIVER HOUSES BLDG 3,Residencial,Manhattan,-73.936439118779,40.825935281694
SURROGATES COURT,Administracion Publica,Manhattan,-74.004277176634,40.713559903929
PS 115 ALEXANDER HUMBOLDT,Educacion,Manhattan,-73.935155948909,40.846356986125
RICHARD TUCKER PARK,Parques y Jardines,Manhattan,-73.981884602436,40.773569296434
TAFT HOUSES BUILDING 5,Residencial,Manhattan,-73.946192300126,40.799141610743
ST GEORGE ACADEMY HIGH SCHOOL,Educacion,Manhattan,-73.989814979024,40.728132002889
COLLEGE OF NEW ROCHELLE DC 37 CAMPUS,Educacion,Manhattan,-74.012964831552,40.714488681323
COLUMBIA UNIVERSITY CASA HISPANICA,Educacion,Manhattan,-73.965013092676,40.808256501741
BARUCH HOUSES BUILDING 3,Residencial,Manhattan,-73.976265227045,40.716724359296
